Room type,Price,Location,URL
Habitación Individual,259 €/mes,"Centro, Aranjuez, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble,500 €/mes,"Guadarrama, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble,500 €/mes,"Guadarrama, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble,600 €/mes,"Aluche, Latina, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,380 €/mes,"Casco Histórico de Vallecas, Villa de Vallecas, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,425 €/mes,"Aluche, Latina, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,350 €/mes,"Pedrezuela, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,400 €/mes,"Entrevías, Puente de Vallecas, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble,420 €/mes,"Centro, Las Rozas de Madrid, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicos,500 €/mes,"Quintana, Ciudad Lineal, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,400 €/mes,"Sur-Este, Móstoles, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble,450 €/mes,"Centro, Las Rozas de Madrid, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,490 €/mes,"Arapiles, Chamberí, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,400 €/mes,"Casa de Campo, Moncloa-Aravaca, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,350 €/mes,"Colonia, Torrelodones, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,400 €/mes,"Valverde, Fuencarral-El Pardo, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,250 €/mes,"Cabanillas de La Sierra, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,380 €/mes,"Entrevías, Puente de Vallecas, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,350 €/mes,"Valdebernardo, Vicálvaro, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,350 €/mes,"Valdebernardo, Vicálvaro, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,300 €/mes,"Abrantes, Carabanchel, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,300 €/mes,"Puerta Bonita, Carabanchel, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble,500 €/mes,"Portazgo, Puente de Vallecas, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,890 €/mes,"Núcleo Urbano, Villanueva de la Cañada, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,400 €/mes,"Embajadores-Lavapiés, Centro, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,600 €/mes,"Nueva España, Chamartín, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,400 €/mes,"Gaztambide, Chamberí, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,400 €/mes,"Gaztambide, Chamberí, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,330 €/mes,"Pintores-Ferial, Parla, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,330 €/mes,"Pintores-Ferial, Parla, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,380 €/mes,"Castilla, Chamartín, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,400 €/mes,"Puerta Bonita, Carabanchel, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,350 €/mes,"Centro, Parla, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,350 €/mes,"Centro, Parla, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,350 €/mes,"Estrella, Retiro, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble,575 €/mes,"Vista Alegre, Carabanchel, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble,575 €/mes,"Vista Alegre, Carabanchel, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,400 €/mes,"Centro Histórico, Vicálvaro, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,330 €/mes,"Juan de la Cierva, Getafe, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble · Sólo chicas,350 €/mes,"Almendrales, Usera, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicos,500 €/mes,"Canillejas, San Blas, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,360 €/mes,"Pau de Carabanchel, Carabanchel, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,400 €/mes,"Humanes de Madrid, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicos,400 €/mes,"Valdebernardo, Vicálvaro, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,400 €/mes,"Hellín, San Blas, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
